Guest,Host,Political,Edge Cases Classified as Not Political
 Speaker of the House Nancy Pelosi,Kimmel,1,
Trevor Noah (The Daily Show),Kimmel,1,
 Ben Platt (Sing to Me Instead),Kimmel,,
 Bill Hader,Kimmel,,
 Billie Lourd (Booksmart),Kimmel,,
 Camila Mendes (Riverdale),Kimmel,,
 Celeste Barber (Celeste and Her Best),Kimmel,,
 Chris Hemsworth,Kimmel,,
 Chris Tucker,Kimmel,,
 Cobie Smulders,Kimmel,,
 Danai Gurira (Marvel's Avengers: Endgame),Kimmel,,
 David Benioff and D.B. Weiss (Game of Thrones),Kimmel,,
 Dennis Quaid (The Intruder),Kimmel,,
 Dr. Mehmet Oz (The Dr. Oz Show),Kimmel,,
 Elizabeth Banks (Brightburn),Kimmel,,
 Hannah Brown (The Bachelorette),Kimmel,,
 Isaac Hempstead Wright (Game of Thrones),Kimmel,,
 Jake Gyllenhaal,Kimmel,,
 Jessica Chastain,Kimmel,,
 Justin Turner (Los Angeles Dodgers),Kimmel,,
 Katie Stevens (The Bold Type),Kimmel,,
 Khloé Kardashian and Kourtney Kardashian (Keeping Up With the Kardashians),Kimmel,,
 Kiernan Shipka (Chilling Adventures of Sabrina),Kimmel,,
 Kyle Chandler (Catch-22),Kimmel,,
 Lala Milan (Boomerang),Kimmel,,
 Lena Waithe (The Chi),Kimmel,,
 Lil Dicky,Kimmel,,
 Linda Cardellini (The Curse of La Llorona),Kimmel,,
 Mike Tyson (Tyson Ranch cannabis products),Kimmel,,
 Naomi Scott (Aladdin),Kimmel,,
 Nikolaj Coster-Waldau,Kimmel,,
 Olivia Holt (Marvel's Cloak & Dagger),Kimmel,,
 Paul Rudd and Chris Hemsworth (Marvel's Avengers: Endgame),Kimmel,,
 Samin Nosrat (Salt Fat Acid Heat),Kimmel,,
 Scarlett Johansson,Kimmel,,
 Senator Amy Klobuchar (Democratic presidential hopeful),Kimmel,,
 Sharon Horgan & Rob Delaney (Catastrophe),Kimmel,,
 Shockingly Evil,Kimmel,,
Ali Wong,Kimmel,,
Allison Williams (The Perfection),Kimmel,,
American Idol Winner Laine Hardy,Kimmel,,
Anthony Anderson (Beats),Kimmel,,
Anthony Jeselnik,Kimmel,,
Ayesha Curry (Family Food Fights),Kimmel,,
Betty Gilpin,Kimmel,,
Boxed Andy Ruiz Jr.,Kimmel,,
Brad Paisley,Kimmel,,
Celine Dion (also Musical Guest),Kimmel,,
Christina Applegate,Kimmel,,
Cobie Smulders,Kimmel,,
College Knowledge: UCLA v. Georgia Tech,Kimmel,,
Dax Shepard (Bless This Mess),Kimmel,,
Diane Keaton (Poms),Kimmel,,
Don Cheadle (Marvel's Avengers: Endgame),Kimmel,,
Emilia Clarke (Game of Thrones),Kimmel,,
George Clooney (Catch-22),Kimmel,,
Gina Rodriguez (Someone Great),Kimmel,,
Himesh Patel,Kimmel,,
ix-time Super Bowl champion Tom Brady (New England Patriots),Kimmel,,
Jacob Batalon,Kimmel,,
Jada Pinkett Smith,Kimmel,,
Jake Gyllenhaal,Kimmel,,
James McAvoy,Kimmel,,
Jamie and Corinne Foxx,Kimmel,,
Jason Sudeikis (Booksmart),Kimmel,,
Jennifer Lawrence,Kimmel,,
Jeremy Renner (Marvel's Avengers: Endgame),Kimmel,,
Jim Acosta,Kimmel,,
Joel McHale,Kimmel,,
John and Ella Bleu Travolta (The Poison Rose),Kimmel,,
Jon Hamm (Good Omens),Kimmel,,
Josh Brolin (Marvel's Avengers: Endgame),Kimmel,,
Kevin Costner,Kimmel,,
Kevin Hart (Irresponsible),Kimmel,,
King Calaway,Kimmel,,
Kumail Nanjiani,Kimmel,,
Lionel Richie (American Idol),Kimmel,,
Martin Short,Kimmel,,
Matthew McConaughey and Snoop Dogg (The Beach Bum),Kimmel,,
Michael Fassbender,Kimmel,,
Miles Teller,Kimmel,,
Nicholas Hoult,Kimmel,,
Nikolaj Coster-Waldau (Game of Thrones),Kimmel,,
Pamela Adlon,Kimmel,,
Rebel Wilson (The Hustle),Kimmel,,
Robert Downey Jr.,Kimmel,,
Ryan Seacrest (American Idol),Kimmel,,
Seth Rogen (Long Shot),Kimmel,,
Six-time Super Bowl champion Tom Brady (New England Patriots),Kimmel,,
Snoop Dogg,Kimmel,,
Sophie Turner,Kimmel,,
Taron Egerton (Rocketman),Kimmel,,
Tiffany Haddish (The Last O.G.),Kimmel,,
Tim Robinson,Kimmel,,
Tom Hanks,Kimmel,,
Tom Holland,Kimmel,,
Tye Sheridan (Dark Phoenix),Kimmel,,
Wanda Sykes,Kimmel,,
Will Arnett,Kimmel,,
Will Smith (Aladdin),Kimmel,,
Zac Efron (Extremely Wicked,Kimmel,,
Zach Galifianakis (Baskets),Kimmel,,
Zachary Quinto,Kimmel,,
Zendaya,Kimmel,,
 Admiral William McRaven,Colbert,1,
 Andrew Yang,Colbert,1,
 Ari Melber,Colbert,1,
 Ash Carter,Colbert,1,
 Dan Abrams,Colbert,1,
 Emily Bazelon,Colbert,1,
 Jessica Yellin,Colbert,1,
 Jim Sciutto,Colbert,1,
 Lori Lightfoot,Colbert,1,
 Preet Bharara,Colbert,1,
 Representative Eric Swalwell,Colbert,1,
 Representative Ilhan Omar,Colbert,1,
 Samantha Bee,Colbert,1,
 Scott Pelley,Colbert,1,
 Stacey Abrams,Colbert,1,
 Van Jones,Colbert,1,
Alexandria Ocasio-Cortez,Colbert,1,
Anderson Cooper,Colbert,1,
Anna Palmer & Jake Sherman,Colbert,1,
Beto O'Rourke,Colbert,1,
Chris Christie,Colbert,1,
Chris Cuomo,Colbert,1,
"Jon Favreau,  Jon Lovett & Tommy Vietor",Colbert,1,
Neal Katyal,Colbert,1,
Senator Kamala Harris,Colbert,1,
 Carly Zakin & Danielle Weisberg,Colbert,,1
Gayle King,Colbert,,1
 Adam Scott,Colbert,,
 Anthony Mason & Tony Dokoupil,Colbert,,
 Bear Grylls,Colbert,,
 Beth Behrs,Colbert,,
 Billy Porter,Colbert,,
 BTS,Colbert,,
 Gary Cole,Colbert,,
 Henry Louis Gates Jr.,Colbert,,
 Henry Winkler,Colbert,,
 Jessie Buckley,Colbert,,
 Julian Edelman,Colbert,,
 Kaitlyn Dever,Colbert,,
 Mark Ronson,Colbert,,
 Matt Bomer,Colbert,,
 Nicholas Hoult & Lily Collins,Colbert,,
 Rachel Dratch,Colbert,,
 Ramy Youssef,Colbert,,
 Retta,Colbert,,
 Ronda Rousey,Colbert,,
 RuPaul,Colbert,,
 Ruth Wilson,Colbert,,
 Santino Fontana,Colbert,,
 Seth Green,Colbert,,
 Tessa Thompson,Colbert,,
 The Cast of Queer Eye,Colbert,,
 Thomas Middleditch,Colbert,,
 Tig Notaro,Colbert,,
 Vanessa Bayer,Colbert,,
 Zachary Levi,Colbert,,
 Zoë Kravitz,Colbert,,
Anne Hathaway,Colbert,,
Aubrey Plaza,Colbert,,
Bill Hader,Colbert,,
Bryan Cranston,Colbert,,
Chris Matthews,Colbert,,
Christina Applegate,Colbert,,
Common,Colbert,,
Conan O'Brien,Colbert,,
Craig Ferguson,Colbert,,
Dax Shepard,Colbert,,
Elisabeth Moss,Colbert,,
Emilia Clarke,Colbert,,
Emma Thompson,Colbert,,
Hank Azaria,Colbert,,
Howard Stern,Colbert,,
Ice Cube,Colbert,,
James Corden,Colbert,,
John Lithgow,Colbert,,
Julianna Margulies,Colbert,,
Keanu Reeves,Colbert,,
Kevin Bacon,Colbert,,
Laurie Metcalf,Colbert,,
Mariska Hargitay,Colbert,,
Michelle Williams,Colbert,,
Mindy Kaling,Colbert,,
Molly Shannon,Colbert,,
Naomi Watts,Colbert,,
Nathan Lane,Colbert,,
Olivia Wilde,Colbert,,
Pete Holmes,Colbert,,
Robert De Niro,Colbert,,
Russell Crowe,Colbert,,
Samuel L. Jackson,Colbert,,
Sandra Oh,Colbert,,
Seth Rogen,Colbert,,
