Name,Date,Followers,,,,,,,,,,,,,,,,
Amy Klobuchar,5/1/19,0.685,,,,,,,,,,,,,,,,
Andrew Yang,5/1/19,0.259,,,,,,,,,,,,,,,,
Bernie Sanders,5/1/19,9.25,,,,,,,,,,,,,,,,
Beto O'Rourke,5/1/19,1.42,,,,,,,,,,,,,,,,
Cory Booker,5/1/19,4.25,,,,,,,,,,,,,,,,
Elizabeth Warren,5/1/19,4.98,,,,,,,,,,,,,,,,
Eric Swalwell,5/1/19,0.0787,,,,,,,,,,,,,,,,
Jay Inslee,5/1/19,0.0486,,,,,,,,,,,,,,,,
Joe Biden,5/1/19,3.55,,,,,,,,,,,,,,,,
John Delaney,5/1/19,0.0199,,,,,,,,,,,,,,,,
John Hickenlooper,5/1/19,0.143,,,,,,,,,,,,,,,,
Julian Castro,5/1/19,0.21,,,,,,,,,,,,,,,,
Kamala Harris,5/1/19,2.61,,,,,,,,,,,,,,,,
Kirsten Gillibrand,5/1/19,1.41,,,,,,,,,,,,,,,,
Marianne Williamson,5/1/19,2.61,,,,,,,,,,,,,,,,
Michael Bennet,5/1/19,,,,,,,,,,,,,,,,,
Mike Gravel,5/1/19,0.0701,,,,,,,,,,,,,,,,
Pete Buttigieg,5/1/19,0.995,,,,,,,,,,,,,,,,
Seth Moulton,5/1/19,0.138,,,,,,,,,,,,,,,,
Tim Ryan,5/1/19,0.0191,,,,,,,,,,,,,,,,
Tulsi Gabbard,5/1/19,0.343,,,,,,,,,,,,,,,,
Amy Klobuchar,5/3/19,0.688,,,,,,,,,,,,,,,,
Andrew Yang,5/3/19,0.26,,,,,,,,,,,,,,,,
Bernie Sanders,5/3/19,9.253,,,,,,,,,,,,,,,,
Beto O'Rourke,5/3/19,1.423,,,,,,,,,,,,,,,,
Cory Booker,5/3/19,4.248,,,,,,,,,,,,,,,,
Elizabeth Warren,5/3/19,4.98,,,,,,,,,,,,,,,,
Eric Swalwell,5/3/19,0.0797,,,,,,,,,,,,,,,,
Jay Inslee,5/3/19,0.0492,,,,,,,,,,,,,,,,
Joe Biden,5/3/19,3.558,,,,,,,,,,,,,,,,
John Delaney,5/3/19,0.02,,,,,,,,,,,,,,,,
John Hickenlooper,5/3/19,0.143,,,,,,,,,,,,,,,,
Julian Castro,5/3/19,0.2104,,,,,,,,,,,,,,,,
Kamala Harris,5/3/19,2.622,,,,,,,,,,,,,,,,
Kirsten Gillibrand,5/3/19,1.409,,,,,,,,,,,,,,,,
Marianne Williamson,5/3/19,2.61,,,,,,,,,,,,,,,,
Michael Bennet,5/3/19,0.0197,,,,,,,,,,,,,,,,
Mike Gravel,5/3/19,0.0708,,,,,,,,,,,,,,,,
Pete Buttigieg,5/3/19,1.006,,,,,,,,,,,,,,,,
Seth Moulton,5/3/19,0.138,,,,,,,,,,,,,,,,
Tim Ryan,5/3/19,0.0193,,,,,,,,,,,,,,,,
Tulsi Gabbard,5/3/19,0.344,,,,,,,,,,,,,,,,
Amy Klobuchar,5/9/19,0.692,,,,,,,,,,,,,,,,
Andrew Yang,5/9/19,0.263,,,,,,,,,,,,,,,,
Bernie Sanders,5/9/19,9.26,,,,,,,,,,,,,,,,
Beto O'Rourke,5/9/19,1.424,,,,,,,,,,,,,,,,
Cory Booker,5/9/19,4.249,,,,,,,,,,,,,,,,
Elizabeth Warren,5/9/19,4.99,,,,,,,,,,,,,,,,
Eric Swalwell,5/9/19,0.0825,,,,,,,,,,,,,,,,
Jay Inslee,5/9/19,0.0507,,,,,,,,,,,,,,,,
Joe Biden,5/9/19,3.559,,,,,,,,,,,,,,,,
John Delaney,5/9/19,0.02,,,,,,,,,,,,,,,,
John Hickenlooper,5/9/19,0.143,,,,,,,,,,,,,,,,
Julian Castro,5/9/19,0.212,,,,,,,,,,,,,,,,
Kamala Harris,5/9/19,2.637,,,,,,,,,,,,,,,,
Kirsten Gillibrand,5/9/19,1.41,,,,,,,,,,,,,,,,
Marianne Williamson,5/9/19,2.611,,,,,,,,,,,,,,,,
Michael Bennet,5/9/19,0.021,,,,,,,,,,,,,,,,
Mike Gravel,5/9/19,0.0749,,,,,,,,,,,,,,,,
Pete Buttigieg,5/9/19,1.025,,,,,,,,,,,,,,,,
Seth Moulton,5/9/19,0.138,,,,,,,,,,,,,,,,
Tim Ryan,5/9/19,0.0199,,,,,,,,,,,,,,,,
Tulsi Gabbard,5/9/19,0.348,,,,,,,,,,,,,,,,
